,Year,Program Area,Program Project,Sub-Program Project,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
771,2018,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",245074500.0,240179000.0,194307000.0,45872000.0,,
784,2018,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",421120500.0,426924000.0,0.0,426924000.0,,
788,2018,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",9639400.0,10176000.0,8498000.0,1678000.0,,
798,2018,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",127491200.0,126299000.0,83295000.0,43004000.0,,
802,2018,Environmental Program & Management,International Programs,"Subtotal, International Programs",15490000.0,15371000.0,4051000.0,11320000.0,,
805,2018,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",111035800.0,111922000.0,82066000.0,29856000.0,,
815,2018,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",116015900.0,111202000.0,98446000.0,12756000.0,,
822,2018,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",473297600.0,481834000.0,496483000.0,14649000.0,,
827,2018,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",106449500.0,102167000.0,85526000.0,16641000.0,,
831,2018,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",103500600.0,104678000.0,73093000.0,31585000.0,,
836,2018,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",87099400.0,92347000.0,65036000.0,27311000.0,,
837,2018,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,11083400.0,11273000.0,5612000.0,5661000.0,,
840,2018,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",46927800.0,47697000.0,18115000.0,29582000.0,,
843,2018,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",98152000.0,98319000.0,80044000.0,18275000.0,,
846,2018,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",212838300.0,210017000.0,174975000.0,35042000.0,,
848,2018,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",12678000.0,12676000.0,0.0,12676000.0,,
850,2018,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",39802300.0,41410000.0,37475000.0,3935000.0,,
852,2018,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,7366200.0,6664000.0,6176000.0,488000.0,,
853,2018,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,37184200.0,35573000.0,33377000.0,2196000.0,,
855,2018,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,2194200.0,1981000.0,0.0,1981000.0,,
856,2018,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",8975400.0,9920000.0,3900000.0,6020000.0,,
857,2018,Hazardous Substance Superfund,Compliance,Compliance Monitoring,844100.0,993000.0,605000.0,388000.0,,
863,2018,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",169640100.0,166059000.0,99287000.0,66772000.0,,
866,2018,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",37245500.0,36293000.0,16999000.0,19294000.0,,
867,2018,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1291400.0,1325000.0,838000.0,487000.0,,
870,2018,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",20976100.0,19847000.0,11399000.0,8448000.0,,
873,2018,Hazardous Substance Superfund,"Homeland Security: Preparedness, Response, and Recovery","Subtotal, Legal / Science / Regulatory / Economic Review",1138900.0,1251000.0,349000.0,902000.0,,
880,2018,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",120381700.0,127861000.0,101942000.0,25919000.0,,
881,2018,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,13622300.0,14005000.0,5655000.0,8350000.0,,
882,2018,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,2751400.0,2838000.0,5305000.0,2467000.0,,
887,2018,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",780003100.0,709716000.0,515784000.0,193932000.0,,
889,2018,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,758000.0,619000.0,559000.0,60000.0,,
893,2018,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1363700.0,1350000.0,1346000.0,4000.0,,
897,2018,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",91265400.0,89478000.0,45204000.0,44274000.0,,
898,2018,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,315500.0,319000.0,320000.0,1000.0,,
900,2018,Inland Oil Spill Programs,Compliance,Compliance Monitoring,143300.0,139000.0,124000.0,15000.0,,
901,2018,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2444000.0,2408000.0,2266000.0,142000.0,,
902,2018,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",14553900.0,14382000.0,12144000.0,2238000.0,,
903,2018,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,679600.0,583000.0,680000.0,97000.0,,
904,2018,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,862000.0,663000.0,503000.0,160000.0,,
914,2018,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",2387041900.0,2532487000.0,2336120000.0,196367000.0,,
937,2018,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1084492300.0,1078986000.0,597347000.0,481639000.0,,
939,2018,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",13302000.0,0.0,0.0,0.0,,
941,2018,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,2910200.0,3667000.0,0.0,3667000.0,,
943,2018,Water Infrastructure Finance and Innovation Fund,Water Quality Protection,Water Infrastructure Finance and Innovation,0.0,20000000.0,20000000.0,0.0,,
953,2017,Science & Technology,Clean Air,"Subtotal, Clean Air",131083100.0,,128154000.0,,116540000.0,11614000.0
958,2017,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",6410900.0,,7510000.0,,5997000.0,1513000.0
959,2017,Science & Technology,Enforcement,Forensics Support,14151100.0,,14608000.0,,13669000.0,939000.0
963,2017,Science & Technology,Homeland Security,"Subtotal, Homeland Security",38333000.0,,37205000.0,,37123000.0,82000.0
966,2017,Science & Technology,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",3271000.0,,3092000.0,,3089000.0,3000.0
967,2017,Science & Technology,Operations and Administration,Facilities Infrastructure and Operations,67222200.0,,78447000.0,,68339000.0,10108000.0
971,2017,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",5333500.0,,5289000.0,,6027000.0,738000.0
972,2017,Science & Technology,Research: Air and Energy,Research: Air and Energy,84453400.0,,101151000.0,,91906000.0,9245000.0
973,2017,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,102249400.0,,106257000.0,,107434000.0,1177000.0
974,2017,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,138347500.0,,134327000.0,,139975000.0,5648000.0
980,2017,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",130130900.0,,134221000.0,,126930000.0,7291000.0
981,2017,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3487400.0,,3923000.0,,3519000.0,404000.0
983,2017,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",4119000.0,,0.0,,14100000.0,14100000.0
991,2017,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",268649600.0,,340974000.0,,273108000.0,67866000.0
996,2017,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",30257100.0,,29908000.0,,27636000.0,2272000.0
997,2017,Environmental Program & Management,Brownfields,Brownfields,25055000.0,,25906000.0,,25593000.0,313000.0
998,2017,Environmental Program & Management,Compliance,Compliance Monitoring,103440400.0,,111270000.0,,101665000.0,9605000.0
1003,2017,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",240526100.0,,268118000.0,,240637000.0,27481000.0
1017,2017,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",433547700.0,,370601000.0,,427737000.0,57136000.0
1021,2017,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",10049500.0,,11518000.0,,10195000.0,1323000.0
1031,2017,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",130964300.0,,152445000.0,,126539000.0,25906000.0
1035,2017,Environmental Program & Management,International Programs,"Subtotal, International Programs",15583500.0,,18099000.0,,15400000.0,2699000.0
1038,2017,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",89186100.0,,126974000.0,,112136000.0,14838000.0
1048,2017,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",111182100.0,,145683000.0,,111414000.0,34269000.0
1054,2017,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",489917500.0,,520316000.0,,482751000.0,37565000.0
1059,2017,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",99989200.0,,110896000.0,,102362000.0,8534000.0
1065,2017,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",102441000.0,,110708000.0,,104877000.0,5831000.0
1071,2017,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",97323700.0,,99043000.0,,92522000.0,6521000.0
1072,2017,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,12036000.0,,11612000.0,,11295000.0,317000.0
1075,2017,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",48448800.0,,50859000.0,,47788000.0,3071000.0
1078,2017,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",100329100.0,,109437000.0,,98507000.0,10930000.0
1081,2017,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",209789200.0,,238526000.0,,210417000.0,28109000.0
1083,2017,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",12700000.0,,0.0,,12700000.0,12700000.0
1085,2017,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",42542300.0,,10038000.0,,41489000.0,51527000.0
1087,2017,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,7957700.0,,1199000.0,,6676000.0,7875000.0
1088,2017,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,33326300.000000004,,8562000.0,,35641000.0,44203000.0
1090,2017,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,1869500.0,,197000.0,,1985000.0,2182000.0
1091,2017,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",9959300.0,,-1161000.0,,9939000.0,8778000.0
1092,2017,Hazardous Substance Superfund,Compliance,Compliance Monitoring,1001700.0,,104000.0,,995000.0,1099000.0
1097,2017,Hazardous Substance Superfund,Enforcement,Superfund: Federal Facilities Enforcement,463000.0,,6989000.0,,6730000.0,7452000.0
1101,2017,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",3746000.0,,36362000.0,,40756800.0,32616000.0
1102,2017,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,38000.0,,1328000.0,,1321100.0,1366000.0
1105,2017,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",256000.0,,19885000.0,,14407200.0,20141000.0
1108,2017,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",25000.0,,1253000.0,,1484300.0,1278000.0
1114,2017,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",2503000.0,,128105000.0,,132593799.99999999,130608000.0
1115,2017,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,2569000.0,,14032000.0,,14611000.0,11463000.0
1116,2017,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,19000.0,,2843000.0,,2618700.0,2824000.0
1121,2017,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",783378900.0,,740977000.0,,711067000.0,29910000.0
1123,2017,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,588100.0,,668000.0,,620000.0,48000.0
1126,2017,Leaking Underground Storage Tanks,Operations and Administration,Acquisition Management,160800.0,,138000.0,,145000.0,7000.0
1131,2017,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",90552100.0,,91583000.0,,89649000.0,1934000.0
1132,2017,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,284500.0,,365000.0,,320000.0,45000.0
1134,2017,Inland Oil Spill Programs,Compliance,Compliance Monitoring,136300.0,,160000.0,,139000.0,21000.0
1135,2017,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2438400.0,,2492000.0,,2413000.0,79000.0
1136,2017,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",14500700.0,,20461000.0,,14409000.0,6052000.0
1137,2017,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,498000.0,,1763000.0,,584000.0,1179000.0
1138,2017,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,696400.0,,534000.0,,664000.0,130000.0
1147,2017,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",2486579400.0,,2122000000.0,,2437120000.0,315120000.0
1170,2017,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1071776200.0,,1158400000.0,,1081041000.0,77359000.0
1172,2017,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",14797900.0,,0.0,,0.0,0.0
1174,2017,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,1468600.0,,7433000.0,,3674000.0,3759000.0
1187,2016,Science & Technology,Clean Air,"Subtotal, Clean Air",110343100.0,,124844000.0,,116541000.0,8303000.0
1192,2016,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",7213600.0,,6615000.0,,5997000.0,618000.0
1193,2016,Science & Technology,Enforcement,Forensics Support,14088700.0,,14398000.0,,13669000.0,729000.0
1197,2016,Science & Technology,Homeland Security,"Subtotal, Homeland Security",38592800.0,,38150000.0,,37122000.0,1028000.0
1198,2016,Science & Technology,IT / Data Management / Security,IT / Data Management,3860800.0,,3196000.0,,3089000.0,107000.0
1199,2016,Science & Technology,Operations and Administration,Facilities Infrastructure and Operations,75013300.0,,79170000.0,,68339000.0,10831000.0
1203,2016,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",6138200.0,,7691000.0,,6027000.0,1664000.0
1204,2016,Science & Technology,Research: Air and Energy,Research: Air and Energy,99429800.0,,100342000.0,,91906000.0,8436000.0
1205,2016,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,120085300.0,,111022000.0,,107434000.0,3588000.0
1206,2016,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,160800700.0,,139172000.0,,149975000.0,10803000.0
1212,2016,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",137281700.0,,140722000.0,,126930000.0,13792000.0
1213,2016,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3750900.0,,3766000.0,,3519000.0,247000.0
1215,2016,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",2450100.0,,0.0,,4100000.0,4100000.0
1223,2016,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",271276900.0,,336907000.0,,273108000.0,63799000.0
1228,2016,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",26017000.0,,30277000.0,,27637000.0,2640000.0
1229,2016,Environmental Program & Management,Brownfields,Brownfields,23372200.0,,29599000.0,,25593000.0,4006000.0
1230,2016,Environmental Program & Management,Compliance,Compliance Monitoring,101883500.0,,122424000.0,,101665000.0,20759000.0
1235,2016,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",244477700.0,,269256000.0,,240637000.0,28619000.0
1249,2016,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",398014000.0,,370413000.0,,427737000.0,57324000.0
1253,2016,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",9526400.0,,10274000.0,,10195000.0,79000.0
1263,2016,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",125169400.0,,155678000.0,,126538000.0,29140000.0
1267,2016,Environmental Program & Management,International Programs,"Subtotal, International Programs",16042700.0,,16561000.0,,15400000.0,1161000.0
1270,2016,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",95979600.0,,103061000.0,,90536000.0,12525000.0
1280,2016,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",107390700.0,,138786000.0,,111414000.0,27372000.0
1286,2016,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",476049200.0,,505402000.0,,482751000.0,22651000.0
1291,2016,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",98427000.0,,111765000.0,,102363000.0,9402000.0
1295,2016,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",103897100.0,,111242000.0,,104877000.0,6365000.0
1301,2016,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",91686900.0,,87705000.0,,92521000.0,4816000.0
1302,2016,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,11979200.0,,11657000.0,,11295000.0,362000.0
1305,2016,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",45014300.0,,50644000.0,,47788000.0,2856000.0
1308,2016,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",96788900.0,,125768000.0,,98507000.0,27261000.0
1312,2016,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",210756500.0,,254299000.0,,210417000.0,43882000.0
1314,2016,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",12700000.0,,0.0,,12700000.0,12700000.0
1316,2016,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",41448000.0,,50099000.0,,41489000.0,8610000.0
1318,2016,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,4158700.0,,7875000.0,,6676000.0,1199000.0
1319,2016,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,23532600.0,,43632000.0,,35641000.0,7991000.0
1321,2016,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,1992100.0,,2180000.0,,1985000.0,195000.0
1322,2016,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",9435900.0,,8459000.0,,9939000.0,1480000.0
1323,2016,Hazardous Substance Superfund,Compliance,Compliance Monitoring,1014900.0,,1067000.0,,995000.0,72000.0
1329,2016,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",179580100.0,,173263000.0,,166375000.0,6888000.0
1332,2016,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",36570700.0,,33767000.0,,36362000.0,2595000.0
1333,2016,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1383000.0,,1366000.0,,1328000.0,38000.0
1336,2016,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",15834200.0,,15642000.0,,14485000.0,1157000.0
1339,2016,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1394300.0,,1241000.0,,1253000.0,12000.0
1345,2016,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",125480000.0,,137340000.0,,128105000.0,9235000.0
1346,2016,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,14450200.0,,12220000.0,,14032000.0,1812000.0
1347,2016,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,3113900.0,,2831000.0,,2843000.0,12000.0
1352,2016,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",776848000.0,,764458000.0,,711067000.0,53391000.0
1354,2016,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,642400.0,,627000.0,,620000.0,7000.0
1358,2016,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1621800.0,,1681000.0,,1352000.0,329000.0
1362,2016,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",93081900.0,,92670000.0,,89649000.0,3021000.0
1363,2016,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,327700.0,,348000.0,,320000.0,28000.0
1365,2016,Inland Oil Spill Programs,Compliance,Compliance Monitoring,143900.0,,155000.0,,139000.0,16000.0
1366,2016,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2396900.0,,2424000.0,,2413000.0,11000.0
1367,2016,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",13620300.0,,18524000.0,,14409000.0,4115000.0
1368,2016,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,456900.0,,1762000.0,,584000.0,1178000.0
1369,2016,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,285100.0,,513000.0,,664000.0,151000.0
1378,2016,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",2573377300.0,,2437000000.0,,2490783000.0,53783000.0
1401,2016,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1058971800.0,,1162400000.0,,1054378000.0,108022000.0
1403,2016,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",9922400.0,,0.0,,0.0,0.0
1405,2016,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,2626500.0,,7368000.0,,3674000.0,3694000.0
1410,2015,Science & Technology,2015 Total,"Total, Science & Technology",743791000.0,,763772000.0,,759156000.0,4616000.0
1411,2015,Environmental Program & Management,2015 Total,"Total, Environmental Program & Management",2511406000.0,,2737156000.0,,2624149000.0,113007000.0
1412,2015,Inspector General,2015 Total,"Total, Inspector General",39740000.0,,46130000.0,,41849000.0,4281000.0
1413,2015,Building and Facilities,2015 Total,"Total, Building and Facilities",34467000.0,,53507000.0,,34467000.0,19040000.0
1414,2015,Inland Oil Spill Programs,2015 Total,"Total, Inland Oil Spill Programs",17291000.0,,24133000.0,,18209000.0,5924000.0
1415,2015,Hazardous Substance Superfund,2015 Total,"Total, Hazardous Substance Superfund",1113268000.0,,1156603000.0,,1088769000.0,67834000.0
1416,2015,Leaking Underground Storage Tanks,2015 Total,"Total, Leaking Underground Storage Tanks",98695000.0,,97922000.0,,94566000.0,3356000.0
1417,2015,State and Tribal Assistance Grants,2015 Total,"Total, State and Tribal Assistance Grants",3392446000.0,,3005374000.0,,3535161000.0,529787000.0
1418,2015,Hazardous Waste Electronic Manifest System Fund,2015 Total,"Total, Hazardous Waste Electronic Manifest System Fund",0.0,,10423000.0,,3674000.0,6749000.0
1426,2014,Science & Technology,Clean Air,"Subtotal, Clean Air",119537600.0,125163000.0,125971000.0,,124378000.0,1593000.0
1431,2014,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",6462100.0,6770000.0,6658000.0,,6750000.0,92000.0
1432,2014,Science & Technology,Enforcement,Forensics Support,16352800.0,15302000.0,15874000.0,,15269000.0,605000.0
1442,2014,Science & Technology,Homeland Security,"Subtotal, Homeland Security",38972300.0,42088000.0,40016000.0,,41774000.0,1758000.0
1443,2014,Science & Technology,IT / Data Management / Security,IT / Data Management,3250700.0,3669000.0,4029000.0,,3652000.0,377000.0
1450,2014,Science & Technology,Operations and Administration,"Subtotal, Operations and Administration",72928500.0,72434000.0,75690000.0,,72019000.0,3671000.0
1454,2014,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",6199300.0,6586000.0,6228000.0,,6563000.0,335000.0
1460,2014,Science & Technology,Research: Air and Energy,"Subtotal, Research: Air and Energy",103631500.0,98683000.0,105724000.0,,98048000.0,7676000.0
1466,2014,Science & Technology,Research: Safe and Sustainable Water Resources,"Subtotal, Research: Safe and Sustainable Water Resources",114257600.0,113449000.0,117884000.0,,112786000.0,5098000.0
1472,2014,Science & Technology,Research: Sustainable Communities,"Subtotal, Research: Sustainable Communities",173523800.0,174655000.0,147372000.0,,173525000.0,26153000.0
1480,2014,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",136490400.0,130951000.0,134844000.0,,130190000.0,4654000.0
1481,2014,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3728200.0,3788000.0,3636000.0,,3782000.0,146000.0
1483,2014,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",60000.0,5048000.0,0.0,,4992000.0,4992000.0
1497,2014,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",282391400.0,287385000.0,308268000.0,,285521000.0,22747000.0
1502,2014,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",34047200.0,33764000.0,33230000.0,,33551000.0,321000.0
1503,2014,Environmental Program & Management,Brownfields,Brownfields,23824100.0,23708000.0,26002000.0,,23642000.0,2360000.0
1504,2014,Environmental Program & Management,Compliance,Compliance Monitoring,106690900.0,107102000.0,127540000.0,,106707000.0,20833000.0
1509,2014,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",250861300.0,249951000.0,267842000.0,,249559000.0,18283000.0
1523,2014,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",396022400.0,415753000.0,410869000.0,,409719000.0,1150000.0
1530,2014,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",9189600.0,11405000.0,11640000.0,,11278000.0,362000.0
1540,2014,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",129627700.0,131449000.0,146796000.0,,130692000.0,16104000.0
1544,2014,Environmental Program & Management,International Programs,"Subtotal, International Programs",18313800.0,17571000.0,19211000.0,,17483000.0,1728000.0
1547,2014,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",94748400.0,95490000.0,93538000.0,,94725000.0,1187000.0
1557,2014,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",115633800.0,113296000.0,131478000.0,,112979000.0,18499000.0
1568,2014,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",486560000.0,489220000.0,508880000.0,,487083000.0,21797000.0
1573,2014,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",108807300.0,110001000.0,111307000.0,,109704000.0,1603000.0
